,CSA,MSA/μSA,City_Zillow
85,"Denver-Aurora, CO CSA","Boulder, CO MSA","Boulder, CO "
86,"Denver-Aurora, CO CSA","Greeley, CO MSA","Greeley, CO"
87,"Cleveland-Akron-Canton, OH CSA","Cleveland–Elyria, OH MSA","Cleveland, OH MSA"
88,"Cleveland-Akron-Canton, OH CSA","Akron, OH MSA","Akron, OH MSA"
89,"Cleveland-Akron-Canton, OH CSA","Canton–Massillon, OH MSA","Canton, OH"
90,"Cleveland-Akron-Canton, OH CSA","Ashtabula, OH μSA","Ashtabula, OH"
91,"Cleveland-Akron-Canton, OH CSA","New Philadelphia-Dover, OH μSA","New Philadelphia, OH"
92,"Cleveland-Akron-Canton, OH CSA","Norwalk, OH μSA","Norwalk, OH"
93,"Cleveland-Akron-Canton, OH CSA","Sandusky, OH μSA","Sandusky, OH"
94,"Cleveland-Akron-Canton, OH CSA","Wooster, OH μSA","Wooster, OH"
95,"Orlando-Deltona-Daytona Beach, FL CSA","Orlando-Kissimmee, FL MSA","Orlando, FL"
96,"Orlando-Deltona-Daytona Beach, FL CSA","The Villages, FL μSA","The Villages, FL"
97,"Orlando-Deltona-Daytona Beach, FL CSA","Deltona-Daytona Beach-Ormond Beach, FL MSA","Deltona, FL"
98,"Orlando-Deltona-Daytona Beach, FL CSA","Palm Coast, FL MSA","Palm Coast, FL"
99,"Portland-Vancouver-Salem, OR-WA CSA","Portland-Vancouver-Hillsboro, OR-WA MSA","Portland, OR "
100,"Portland-Vancouver-Salem, OR-WA CSA","Salem, OR MSA","Salem, OR MSA"
101,"Portland-Vancouver-Salem, OR-WA CSA","Longview, WA MSA","Longview, WA MSA"
102,"Portland-Vancouver-Salem, OR-WA CSA","Albany-Lebanon, OR μSA","Albany-Lebanon, OR μSA"
103,"Portland-Vancouver-Salem, OR-WA CSA","Corvallis, OR MSA","Corvallis, OR MSA"
104,"Sacramento-Arden Arcade-Yuba City, CA-NV CSA","Sacramento-Arden Arcade-Roseville, CA MSA","Sacramento, CA "
105,"Sacramento-Arden Arcade-Yuba City, CA-NV CSA","Yuba City, CA MSA","Yuba City, CA"
106,"Fresno-Madera, CA CSA","Truckee-Grass Valley, CA μSA","Truckee, CA"
107,"Fresno-Madera, CA CSA","Fresno, CA MSA","Fresno, CA"
108,"Fresno-Madera, CA CSA","Madera, CA MSA","Madera, CA"
109,(no CSA),Phoenix-Mesa MSA,"Phoenix, AZ"
110,(no CSA),San Diego - Chula Vista - Carlsbad MSA,"San Diego, CA"
111,(no CSA),Honolulu MSA,"Honolulu, HI"
